Mix_ID;Cement;Water;NCA;NFA;RCA_P;MRCA_P;RFA_P;Silica_Fume;Fly_Ash;RHA_P;Nylon_Fiber;Fiber_Type;SP;W_C;Agg_Size;Slump;Density;CS_7;CS_28;CS_90;STS;FS;EM;Water_Abs;UPV;Shrinkage;Carb_Depth;Cl_Perm;CO2;Energy;Cost;ACV;Sp_Gravity;Sustainability;Is_Synthetic
Synthetic_Mix_167;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_168;443;146.5;888.6;609.4;4.2;0;0;35;0;0;0;0;7;0.306;4.3;37.3;2400;0;85.25;18.8;1.7;6;43.4;0;5331;0;0;0;389.64;0;84.19;0;0;0.0005;1
Synthetic_Mix_169;450;211.9;756.9;644.4;21.5;0;0;13.7;0;0;0;0;0;0.457;20;19.4;2367.8;0;34.45;0;0.51;3.82;27.59;0;4061;0;0;0;389.78;0;67.51;0;0;0.0002;1
Synthetic_Mix_170;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_171;411.7;173.8;817;689.4;30.3;0;0;0;4.6;0;0;0;0;0.417;19.8;24.3;2400;0;45.39;0;3.71;1.4;31.66;0;4335;0;0;0;357.52;0;61.84;0;0;0.0004;1
Synthetic_Mix_172;398.2;163.6;837.7;707;21;0;0;0;3.2;0;0;0;0;0.408;19.8;16.8;2400;0;47.4;0;3.79;4.48;32.36;0;4385;0;0;0;346.23;0;60.97;0;0;0.0004;1
Synthetic_Mix_173;307.7;185.3;1102.3;778.5;3.1;0;0;0;0;0;0;0;3.31;0.602;19.4;149.2;1613.6;23.1;35.22;0;3.26;3.4;27.89;0;4080;0;0;0;273.27;0;61.61;8.79;1.79;0.0004;1
Synthetic_Mix_174;402.7;211.5;750.6;739.7;25;0;0;15.9;0;0;0;0;0;0.505;20;22.5;2362.5;0;31.12;0;0.59;3.63;26.22;0;3978;0;0;0;350.06;0;64.38;0;0;0.0002;1
Synthetic_Mix_175;394;214.3;644;1100;0;0;0;0;0;0;0;0;0;0.544;20;0;2400;0;44.29;0;3.66;4.33;31.28;0;4307;0;0;0;343.62;0;62.26;0;0;0.0004;1
Synthetic_Mix_176;367.6;183.8;1104.9;767.1;3.4;0;0;0;0;0;0;0;5.43;0.5;20;121.2;1651.9;23.7;35.13;0;3.26;3.5;27.86;0;4078;0;0;0;325.62;0;70.68;9.02;1.83;0.0003;1
Synthetic_Mix_177;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_178;443;146.5;888.6;609.4;4.2;0;0;35;0;0;0;0;7;0.306;4.3;37.3;2400;0;85.25;18.8;1.7;6;43.4;0;5331;0;0;0;389.64;0;84.19;0;0;0.0005;1
Synthetic_Mix_179;450;211.9;756.9;644.4;21.5;0;0;13.7;0;0;0;0;0;0.457;20;19.4;2367.8;0;34.45;0;0.51;3.82;27.59;0;4061;0;0;0;389.78;0;67.51;0;0;0.0002;1
Synthetic_Mix_180;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_181;411.7;173.8;817;689.4;30.3;0;0;0;4.6;0;0;0;0;0.417;19.8;24.3;2400;0;45.39;0;3.71;1.4;31.66;0;4335;0;0;0;357.52;0;61.84;0;0;0.0004;1
Synthetic_Mix_182;398.2;163.6;837.7;707;21;0;0;0;3.2;0;0;0;0;0.408;19.8;16.8;2400;0;47.4;0;3.79;4.48;32.36;0;4385;0;0;0;346.23;0;60.97;0;0;0.0004;1
Synthetic_Mix_183;307.7;185.3;1102.3;778.5;3.1;0;0;0;0;0;0;0;3.31;0.602;19.4;149.2;1613.6;23.1;35.22;0;3.26;3.4;27.89;0;4080;0;0;0;273.27;0;61.61;8.79;1.79;0.0004;1
Synthetic_Mix_184;402.7;211.5;750.6;739.7;25;0;0;15.9;0;0;0;0;0;0.505;20;22.5;2362.5;0;31.12;0;0.59;3.63;26.22;0;3978;0;0;0;350.06;0;64.38;0;0;0.0002;1
Synthetic_Mix_185;394;214.3;644;1100;0;0;0;0;0;0;0;0;0;0.544;20;0;2400;0;44.29;0;3.66;4.33;31.28;0;4307;0;0;0;343.62;0;62.26;0;0;0.0004;1
Synthetic_Mix_186;367.6;183.8;1104.9;767.1;3.4;0;0;0;0;0;0;0;5.43;0.5;20;121.2;1651.9;23.7;35.13;0;3.26;3.5;27.86;0;4078;0;0;0;325.62;0;70.68;9.02;1.83;0.0003;1
Synthetic_Mix_187;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_188;443;146.5;888.6;609.4;4.2;0;0;35;0;0;0;0;7;0.306;4.3;37.3;2400;0;85.25;18.8;1.7;6;43.4;0;5331;0;0;0;389.64;0;84.19;0;0;0.0005;1
